job_name,company_add,month,salary_min,salary_max,record,company_name,company_type,scope,tag,welfare
高级Java开发工程师（耀出行）,杭州,2,18000,25000,本科,吉利集团,汽车生产,10000人以上,Java，SpringCloud，Dubbo，Mybatis,节日福利，五险一金，免费班车，住房补贴，定期体检，补充医疗保险，带薪年假，通讯补贴，餐补，加班补助，包吃，年终奖
JAVA开发工程师,北京,3,11000,16000,本科,启明星辰,信息安全,1000-9999人,HTML，分布式技术，Spring，SpringBoot，Redis，MySQL，WEB开发，计算机软件,交通补助，员工旅游，补充医疗保险，通讯补贴，餐补，免费班车，年终奖，五险一金，定期体检，节日福利，带薪年假
高级Java工程师（大生鲜）,深圳,3,25000,35000,本科,宝能物流集团,物流/仓储,1000-9999人,Java，Mybatis，Spring，分布式技术，Memcached，Struts,包吃，交通补助，带薪年假，五险一金，年终奖，餐补，员工旅游，加班补助，定期体检，节日福利，免费班车
Java开发工程师,石家,3,9000,14000,本科,中移集成,通信/网络设备,1000-9999人,分布式技术，架构师,年终奖，定期体检，节日福利，带薪年假，零食下午茶，补充医疗保险，通讯补贴，五险一金，餐补，全勤奖
中高级Java开发（金融）,广州,4,18000,30000,本科,致景科技,互联网,1000-9999人,Java，架构设计，分布式技术,定期体检，节日福利，年终奖，每月团建活动，带薪年假，通讯补贴，股票期权，餐补，五险一金，加班补助
高级Java开发工程师,西安,9,12000,18000,本科,武汉微品,计算机软件,500-999人,Shell，分布式技术，服务器配置，容器技术，Spring，Struts，计算机软件,无
JAVA开发工程师,上海,4,20000,25000,大专,强然数码,信息安全,1000-9999人,SQL，CSS，多线程，Spring，Hibernate，Struts，MySQL，Linux,带薪年假，年终奖，五险一金
文案策划,贵阳,3,6000,11000,大专,保利贵州物业,物业服务,1000-9999人,广告文案，品牌文案，活动文案,无
高级java开发,珠海,4,15000,25000,本科,优特科技,智能硬件,1000-9999人,分布式技术，微服务架构，Spring，Redis，Oracle，MySQL,补充医疗保险，奖励机制，年终奖，餐补，项目奖，交通补助，带薪年假，定期体检，节日福利，五险一金，员工旅游，意外险
研发主管,北京,2,25000,40000,本科,乐友国际,新零售,1000-9999人,分布式技术，网络协议，搜索引擎技术，Spring，NoSQL，MySQL，计算机软件,节日福利，带薪年假，交通补助，员工旅游，通讯补贴，五险一金
高级Java开发工程师,北京,4,15000,25000,本科,中信网科,计算机软件,1000-9999人,Dubbo，Redis，Java,员工旅游，定期体检，加班补助，补充医疗保险，节日福利，年终奖，餐补，带薪年假，五险一金，股票期权
后端开发工程师,东莞,4,16000,21000,大专,诚迈科技,移动互联网,1000-9999人,Java，JavaScript，分布式技术，Spring，MySQL，后端开发,带薪年假，五险一金，定期体检，节日福利，加班补助，免费班车
Java,西安,5,12000,18000,本科,易宝软件,计算机软件,1000-9999人,Java，JavaScript,节日福利，补充医疗保险，加班补助，餐补，定期体检，免费班车，五险一金，员工旅游，交通补助，零食下午茶，年终奖，带薪年假
Java后端工程师,苏州,10,18000,25000,本科,智慧芽,互联网,500-999人,Java，Python，分布式技术，消息队列，微服务架构，负载均衡技术，文件管理系统，后端开发,零食下午茶，带薪年假，节日福利，定期体检，股票期权，补充医疗保险，五险一金，年终奖，员工旅游
Java,武汉,4,10000,15000,本科,远大医药,医疗健康,1000-9999人,Java，JavaScript，SQL，Spring，SpringMVC，MySQL，Oracle，SQL Server,无
物联网Java技术经理,北京,9,30000,40000,本科,北纬通信,移动互联网,500-999人,分布式技术，Java，多线程，微服务架构，Dubbo，springboot，mongodb，高并发,年终奖，节日福利，五险一金，定期体检，带薪年假，员工旅游，通讯补贴，股票期权，餐补，零食下午茶
大数据开发/JAVA开发工程师/基础设施架构师,成都,3,13000,25000,本科,新潮传媒,广告营销,1000-9999人,SQL，Python，Shell，分布式技术，微服务架构，网络协议，MVC开发，Socket技术,零食下午茶，员工旅游，带薪年假，年终奖，五险一金，节日福利
Java开发核心银行Leader-数字银行,深圳,2,40000,60000,本科,Shopee,电子商务,1000-9999人,银行,带薪年假，定期体检，零食下午茶，五险一金，补充医疗保险
Java开发工程师,朔州,5,10000,15000,本科,山西朗驰科技有限公司,计算机软件,500-999人,SQL，HTML，CSS，分布式技术，多线程，服务器配置，MVC开发，Spring,浮动奖金，零食下午茶，节日福利，员工旅游，全勤奖，提供住宿，加班补助，晋升空间，环境，带薪年假，五险一金，专业培训
商品开发经理/专员,贵阳,4,6000,10000,本科,一树药业连锁有限公司,新零售,1000-9999人,商品经理，采购管理,定期体检，员工旅游，带薪年假，年终奖，五险一金，节日福利
Java开发,北京,5,15000,21000,本科,中电金信,计算机软件,10000人以上,Java，银行，金融，微服务，JSP，HTML，JavaScript,补充医疗保险，零食下午茶，定期体检，五险一金，带薪年假，节日福利
Java,杭州,4,9000,14000,本科,东方国信,计算机软件,1000-9999人,Java，JavaScript，CSS，SpringMVC，全栈开发，计算机软件，软件工程师，微服务架构,电脑补贴，节日福利，餐补，加班补助，五险一金，通讯补贴，定期体检，股票期权，年终奖，带薪年假
Java开发工程师,深圳,12,12000,22000,本科,拓保软件,计算机软件,1000-9999人,分布式技术，Spring，SpringBoot，MySQL,年终奖，节日福利，员工旅游，免费班车，带薪年假，五险一金，餐补，全勤奖，零食下午茶，定期体检，加班补助
高级开发JAVA（武汉）,武汉,1,10000,15000,本科,华信设计,通信/网络设备,1000-9999人,分布式技术，多线程，MVC开发，数据结构，负载均衡技术,住房补贴，通讯补贴，年终奖，员工旅游，餐补，五险一金，定期体检，交通补助，节日福利，加班补助
